phd_affiliation_district,Mobility,n,hindex_mean,hindex_std,hindex_se
Europe,SCSU,3726,2.218733225979603,2.4972861737852448,0.04091164
Europe,SCDU,994,2.183098591549296,2.5609736741040923,0.081229152
Europe,DC,2470,2.4813765182186236,2.8340522748197015,0.057024223
North America,SCSU,3781,1.837344617825972,2.458381997902124,0.039980298
North America,SCDU,4020,1.844776119402985,2.6826481727646256,0.042310747
North America,DC,947,2.1235480464625134,2.763883822239475,0.089814156
Other,SCSU,1745,2.273352435530086,2.740978832253212,0.06561573
Other,SCDU,441,2.3333333333333335,2.844452336,0.135450111
Other,DC,1985,2.455919395465995,2.836469806,0.063664585
